advertiserName;date;creativeType;deviceCategoryName;totalLineItemLevelImpressions;totalLineItemLevelClicks;totalLineItemLevelCtr;clickThroughConversions;viewThroughConversions
Cliente 1;02/06/2023;Custom;SmartTV;11983;349;0,02912;204;369
Cliente 1;02/06/2023;Custom template;Smartphone;12507;112;0,00895;21;368
Cliente 1;02/06/2023;Programmatic;Tablet;29909;488;0,01632;97;327
Cliente 1;02/06/2023;DoubleClick Rich Media;SmartTV;39189;172;0,00439;22;256
Cliente 1;02/06/2023;Video creative sets;Desktop;41458;362;0,00873;325;63
Cliente 1;02/06/2023;Other;SmartTV;5959;390;0,06545;365;284
Cliente 1;02/06/2023;Video creative sets;Tablet;46480;422;0,00908;136;205
Cliente 1;02/06/2023;Third-party;Tablet;16595;317;0,01910;161;205
Cliente 1;02/06/2023;Custom;Tablet;9549;240;0,02513;170;8
Cliente 1;02/06/2023;Image;Smartphone;17843;444;0,02488;344;27
Cliente 1;02/06/2023;Programmatic;SmartTV;32153;38;0,00118;25;136
Cliente 1;02/06/2023;Video creative sets;Desktop;41270;226;0,00548;203;292
Cliente 1;02/06/2023;Image;Tablet;9422;295;0,03131;29;454
Cliente 1;02/06/2023;Video creative sets;Desktop;48770;228;0,00468;175;444
Cliente 1;02/06/2023;Programmatic;Smartphone;37042;298;0,00804;109;316
Cliente 1;02/06/2023;DoubleClick Rich Media;SmartTV;15453;178;0,01152;66;83
Cliente 1;02/06/2023;Image;SmartTV;24580;156;0,00635;119;496
Cliente 1;02/06/2023;Third-party;SmartTV;46144;424;0,00919;22;213
Cliente 1;02/06/2023;Other;SmartTV;12565;89;0,00708;68;178
Cliente 1;02/06/2023;Image;Desktop;41092;411;0,01000;181;293
Cliente 1;02/06/2023;Image;Desktop;34591;123;0,00356;75;118
Cliente 1;02/06/2023;Custom template;Tablet;4749;125;0,02632;10;416
Cliente 1;02/06/2023;Image;SmartTV;39915;407;0,01020;142;467
Cliente 1;02/06/2023;Third-party;SmartTV;38302;213;0,00556;147;362
Cliente 1;02/06/2023;Video creative sets;SmartTV;1646;391;0,23755;41;260
Cliente 1;02/06/2023;Custom template;Smartphone;35555;339;0,00953;255;243
Cliente 1;02/06/2023;Programmatic;Smartphone;42439;374;0,00881;78;440
Cliente 1;02/06/2023;Custom;Smartphone;6988;245;0,03506;236;230
Cliente 1;02/06/2023;Other;Desktop;47239;212;0,00449;116;20
Cliente 1;02/06/2023;Custom;Desktop;40293;92;0,00228;16;44
Cliente 1;02/06/2023;DoubleClick Rich Media;Tablet;45052;342;0,00759;36;246
Cliente 1;02/06/2023;Video creative sets;Tablet;393;456;1,16031;95;313
Cliente 1;02/06/2023;Third-party;Tablet;12481;144;0,01154;5;195
Cliente 1;02/06/2023;Custom template;Smartphone;45740;303;0,00662;244;271
Cliente 1;02/06/2023;Custom template;Smartphone;7816;291;0,03723;217;48
Cliente 1;02/06/2023;DoubleClick Rich Media;SmartTV;18806;99;0,00526;48;176
Cliente 1;02/06/2023;Image;Tablet;36703;348;0,00948;96;56
Cliente 1;02/06/2023;Custom;Desktop;28247;440;0,01558;310;294
Cliente 1;02/06/2023;Programmatic;SmartTV;35696;107;0,00300;13;393
Cliente 1;02/06/2023;Programmatic;Desktop;43571;8;0,00018;2;365
Cliente 1;02/06/2023;Custom template;Smartphone;40782;390;0,00956;16;32
Cliente 1;02/06/2023;Video creative sets;SmartTV;27711;112;0,00404;92;87
Cliente 1;02/06/2023;Custom;SmartTV;20852;108;0,00518;1;302
Cliente 1;02/06/2023;Custom;Desktop;3012;3;0,00100;3;87
Cliente 1;02/06/2023;Third-party;Smartphone;29043;36;0,00124;18;393
Cliente 1;02/06/2023;Video creative sets;Smartphone;39818;187;0,00470;145;253
